code_pays,pays,salary_median_ED0-2,salary_median_ED3-4,salary_median_ED5-8,salary_gap_ED5-8_vs_ED0-2,From_0-2_To_0-2,From_0-2_To_3-4,From_0-2_To_5-8,From_3-4_To_0-2,From_3-4_To_3-4,From_3-4_To_5-8,From_5-8_To_0-2,From_5-8_To_3-4,From_5-8_To_5-8,From_5-6_To_0-2,From_5-6_To_3-4,From_5-6_To_5-8,ppp_value,score_maths_pisa,score_lecture_pisa,variance_maths_pisa
AL,Albanie,3194.0,4119.0,5642.0,0.433888691953208,85.7,60.7,37.1,14.0,36.7,42.9,0.4,2.6,19.9,0.8,4.1,19.6,51.1,,,
AT,Autriche,24290.0,32981.0,37322.0,0.3491774288623332,64.8,29.2,11.5,31.9,61.6,54.5,3.3,9.2,34.0,7.0,17.6,48.2,0.952,487.27,480.0,19.38
BA,Bosnie-Herzégovine,,,,,,,,,,,,,,,,,0.867,,,
BE,Belgique,21438.0,29065.0,35280.0,0.3923469387755102,76.5,44.5,18.3,17.7,40.2,36.9,5.8,15.4,44.8,6.2,14.8,45.7,0.965,489.49,479.0,21.83
BG,Bulgarie,3684.0,7146.0,10774.0,0.658065713755337,86.9,22.0,3.9,12.5,69.6,58.1,0.6,8.4,37.9,0.5,9.5,39.6,0.881,417.3,,17.24
CH,Suisse,40505.0,50170.0,63193.0,0.3590271074327852,71.2,22.1,10.7,22.0,54.3,35.7,6.8,23.6,53.7,8.7,24.5,50.7,1.44,507.99,,20.82
CY,Chypre,15653.0,18544.0,24243.0,0.3543290846842387,85.2,57.1,21.8,11.9,33.1,44.1,3.0,9.8,34.1,2.8,7.7,32.0,0.767,,,
CZ,République tchèque,11336.0,14450.0,18328.0,0.381492797904845,81.3,50.4,16.4,16.5,42.7,50.0,2.2,6.8,33.6,2.5,8.0,37.1,,,,
CZ,Tchéquie,,,,,,,,,,,,,,,,,16.3,487.0,489.0,22.04
DE,Allemagne,21430.0,27197.0,36000.0,0.4047222222222222,37.6,12.6,7.4,44.5,60.3,40.2,17.9,27.1,52.4,16.3,31.0,57.4,0.88,474.83,480.0,18.7
DK,Danemark,32552.0,34364.0,40124.0,0.1887149835509919,39.0,27.9,13.7,26.9,32.1,32.7,34.1,40.0,53.7,27.4,30.3,55.5,8.67,489.27,489.0,12.19
EE,Estonie,12499.0,15070.0,20241.0,0.382490983647053,25.7,11.8,5.0,54.3,49.3,35.4,19.9,38.9,59.6,21.5,38.6,60.4,0.783,509.95,511.0,13.45
EL,Grèce,8026.0,9843.0,13279.0,0.3955870170946607,83.5,59.3,34.5,12.4,31.5,36.6,4.2,9.2,28.9,1.6,7.4,29.8,0.669,430.15,,11.81
ES,Espagne,14862.0,17637.0,24025.0,0.3813943808532778,89.0,67.4,49.8,7.0,18.9,19.4,3.9,13.8,30.8,2.9,11.4,29.4,0.735,473.14,474.0,14.2
FI,Finlande,26020.0,27277.0,34694.0,0.250014411713841,46.8,31.0,15.8,37.1,47.7,42.4,16.1,21.3,41.8,15.1,26.5,42.6,1.03,484.14,490.0,12.44
FR,France,19068.0,23411.0,31837.0,0.4010742218173823,72.2,46.8,23.4,21.6,41.5,33.9,6.2,11.7,42.7,6.7,10.2,36.7,0.88,473.94,474.0,21.48
HR,Croatie,7555.0,10338.0,14011.0,0.4607808150738705,80.2,38.4,11.7,18.2,53.5,55.2,1.6,8.1,33.1,2.2,7.6,34.5,0.574,463.11,,12.98
HU,Hongrie,6077.0,7382.0,8557.0,0.2898211990183476,75.7,27.7,7.0,22.5,62.9,49.0,1.8,9.4,44.0,1.1,8.1,39.2,210.0,472.78,473.0,25.12
IE,Irlande,25470.0,29928.0,37886.0,0.3277200021115979,62.2,35.4,18.0,34.5,51.1,44.7,3.3,13.4,37.3,6.2,12.7,34.1,1.14,491.65,516.0,12.96
IS,Islande,,,,,46.0,30.4,16.9,40.1,48.1,43.3,14.0,21.6,39.8,16.4,24.4,41.3,202.0,458.9,436.0,9.26
IT,Italie,16475.0,21286.0,26826.0,0.3858570043987177,89.7,64.2,31.0,9.4,30.7,42.9,0.8,5.0,26.0,1.2,6.0,26.8,0.794,471.26,482.0,13.48
LT,Lituanie,8609.0,10669.0,16282.0,0.4712566023829996,45.3,27.6,5.5,47.2,56.9,41.4,7.5,15.5,53.1,8.7,12.0,49.1,0.628,475.15,472.0,16.53
LU,Luxembourg,33496.0,45083.0,60900.0,0.4499835796387521,81.2,49.8,18.0,13.8,33.4,29.1,5.0,16.8,53.0,4.3,10.3,51.7,1.22,,,
LV,Lettonie,9235.0,10835.0,16156.0,0.4283857390443179,40.3,18.3,5.7,49.4,63.6,49.3,10.3,18.1,44.9,7.5,19.5,44.0,0.623,483.16,475.0,13.25
ME,Monténégro,,,,,79.5,34.8,11.6,19.9,56.0,54.1,0.5,9.2,34.2,0.6,9.4,34.6,0.458,,,
MK,Macédoine du Nord,2862.0,4233.0,5783.0,0.5051011585682171,97.8,97.4,98.2,0.8,1.6,1.0,1.4,1.0,0.8,0.7,6.2,33.6,24.2,,,
MT,Malte,17335.0,21802.0,27810.0,0.3766630708378281,65.1,44.8,27.1,29.6,43.2,41.9,5.3,12.0,31.0,4.6,15.7,29.5,0.744,,,
NL,Pays-Bas,24822.0,29581.0,35950.0,0.3095410292072322,61.1,47.2,22.9,27.4,31.5,22.9,11.5,21.3,54.2,7.6,18.3,46.8,0.977,492.68,459.0,15.13
NO,Norvège,38379.0,43053.0,47498.0,0.1919870310328855,30.1,20.3,11.3,40.5,43.8,27.0,29.4,35.9,61.7,38.4,30.5,59.7,12.4,468.45,477.0,9.6
PL,Pologne,7571.0,9756.0,12911.0,0.4136008055146774,56.8,24.8,5.8,41.3,71.2,66.4,1.9,4.0,27.8,1.2,4.8,28.6,2.39,488.96,489.0,16.25
PT,Portugal,10002.0,12056.0,17172.0,0.4175401816911251,90.7,64.6,37.6,7.9,28.1,32.3,1.4,7.3,30.2,1.2,6.3,25.0,0.683,471.91,477.0,18.24
RO,Roumanie,3428.0,6808.0,11118.0,0.6916711638783954,66.5,25.9,4.0,33.4,72.6,74.3,0.2,1.5,21.7,0.4,1.5,24.5,2.18,427.76,,25.84
RS,Serbie,3375.0,5050.0,7071.0,0.5226983453542638,75.8,26.4,4.2,23.3,66.6,62.5,0.9,7.0,33.2,1.7,9.0,42.1,56.1,,,
SE,Suède,21585.0,29555.0,33278.0,0.3513732796442094,41.1,20.4,9.1,40.4,50.2,33.2,18.5,29.4,57.7,20.9,34.3,61.2,11.3,481.77,487.0,14.97
SI,Slovénie,15026.0,17970.0,22045.0,0.3183941936947153,61.9,26.9,10.2,32.3,57.7,51.1,5.9,15.4,38.7,4.4,11.8,37.9,0.725,484.53,469.0,15.74
SK,République slovaque,,,,,,,,,,,,,,,,,0.648,463.99,447.0,25.72
SK,Slovaquie,6444.0,9548.0,10569.0,0.3902923644621061,88.7,57.6,16.5,10.9,36.9,52.8,0.4,5.5,30.8,0.6,6.4,31.7,,,,
TR,Türkiye,2632.0,3415.0,5340.0,0.5071161048689139,97.0,82.4,59.2,2.5,13.0,22.5,0.5,4.6,18.3,,,,8.02,453.15,456.0,12.59
UK,Royaume-Uni,,,,,,,,,,,,,,,,,0.863,488.98,494.0,10.95
